10	5	2
11	6	1
12	6	2
13	7	2
14	7	2
15	8	2
16	8	2
17	9	2
18	9	3
19	10	2
20	10	3
21	11	2
22	11	3
23	12	3
24	12	3
25	13	3
26	13	4
27	14	3
28	14	4
29	15	3
30	15	4
31	16	4
32	16	4
33	17	4
34	17	4
35	18	4
36	18	5
37	19	4
38	19	5
39	20	5
40	20	5
41	21	5
42	21	5
43	22	5
44	22	6
45	23	5
46	23	6
47	23	6
48	24	6
49	24	7
50	25	6
51	25	7
52	26	7
53	26	7
54	27	7
55	27	7
56	28	7
57	28	8
58	29	7
59	29	8
60	30	7
61	30	8
62	31	8
63	31	8
64	32	8
65	32	9
66	33	8
67	33	9
68	34	8
69	34	9
70	35	9
71	35	9
72	36	9
73	36	9
74	37	9
75	37	10
