10	5	2
11	6	1
12	6	2
13	7	2
14	7	2
15	8	2
16	8	2
17	9	2
18	9	3
19	10	2
20	10	3
21	11	2
22	11	3
23	12	3
24	12	3
25	13	3
26	13	4
27	14	3
28	14	4
29	15	3
30	15	4
31	16	4
32	16	4
33	17	4
34	17	4
35	18	4
36	18	5
37	19	4
38	19	5
39	20	5
40	20	5
41	21	5
42	21	5
43	22	5
44	22	6
45	23	5
46	23	6
47	23	6
48	24	6
49	24	7
50	25	6
51	25	7
52	26	7
53	26	7
54	27	7
55	27	7
56	28	7
57	28	8
58	29	7
59	29	8
60	30	7
61	30	8
62	31	8
63	31	8
64	32	8
65	32	9
66	33	8
67	33	9
68	34	8
69	34	9
70	35	9
71	35	9
72	36	9
73	36	9
74	37	9
75	37	10
76	38	9
77	38	10
78	39	10
79	39	10
80	40	10
81	40	10
82	41	10
83	41	11
84	42	10
85	42	11
86	43	11
87	43	11
88	44	11
89	44	11
90	45	11
91	45	12
92	46	11
93	46	12
94	46	12
95	47	12
96	47	13
97	48	12
98	48	13
99	49	13
100	49	13
101	50	13
102	50	13
103	51	13
104	51	14
105	52	13
106	52	14
107	53	13
108	53	14
109	54	14
110	54	14
111	55	14
112	55	15
113	56	14
114	56	15
115	57	14
116	57	15
117	58	15
118	58	15
119	59	15
120	59	15
121	60	15
122	60	16
123	61	15
124	61	16
125	62	16
126	62	16
127	63	16
128	63	16
129	64	16
130	64	17
131	65	16
132	65	17
133	66	16
134	66	17
135	67	17
136	67	17
137	68	17
138	68	18
139	69	17
140	69	18
141	69	18
142	70	18
143	70	19
144	71	18
145	71	19
146	72	18
147	72	19
148	73	19
149	73	19
150	74	19
151	74	20
152	75	19
153	75	20
154	76	19
155	76	20
156	77	20
157	77	20
158	78	20
159	78	20
160	79	20
161	79	21
162	80	20
163	80	21
164	81	21
165	81	21
166	82	21
167	82	21
168	83	21
169	83	22
170	84	21
171	84	22
172	85	22
173	85	22
174	86	22
175	86	22
176	87	22
177	87	23
178	88	22
179	88	23
180	89	22
181	89	23
182	90	23
